name_ko,name_en,body_part,primary_muscle,push_pull,measure_type,equipment
디클라인 바벨 벤치프레스,Decline Barbell Bench Press,CHEST,chest,PUSH,WEIGHT_REPS,BARBELL
디클라인 덤벨 벤치프레스,Decline Dumbbell Bench Press,CHEST,chest,PUSH,WEIGHT_REPS,DUMBBELL
디클라인 스미스머신 프레스,Decline Smith Press,CHEST,chest,PUSH,WEIGHT_REPS,MACHINE
딥스: 가슴,Dips - Chest Version,CHEST,chest,PUSH,BODYWEIGHT_REPS,PULLUP_BAR
바벨 벤치프레스,Barbell Bench Press - Medium Grip,CHEST,chest,PUSH,WEIGHT_REPS,BARBELL
푸시업,Pushups,CHEST,chest,PUSH,BODYWEIGHT_REPS,BODYWEIGHT
케이블 체스트프레스,Cable Chest Press,CHEST,chest,PUSH,WEIGHT_REPS,CABLE
덤벨 벤치프레스,Dumbbell Bench Press,CHEST,chest,PUSH,WEIGHT_REPS,DUMBBELL
머신 체스트프레스,Machine Bench Press,CHEST,chest,PUSH,WEIGHT_REPS,MACHINE
인클라인 바벨 벤치프레스,Barbell Incline Bench Press - Medium Grip,CHEST,chest,PUSH,WEIGHT_REPS,BARBELL
인클라인 푸시업,Incline Push-Up,CHEST,chest,PUSH,BODYWEIGHT_REPS,BODYWEIGHT
인클라인 케이블 체스트프레스,Incline Cable Chest Press,CHEST,chest,PUSH,WEIGHT_REPS,CABLE
인클라인 덤벨 프레스,Incline Dumbbell Press,CHEST,chest,PUSH,WEIGHT_REPS,DUMBBELL
인클라인 머신 체스트프레스,Leverage Incline Chest Press,CHEST,chest,PUSH,WEIGHT_REPS,MACHINE
덤벨 풀오버,Bent-Arm Dumbbell Pullover,CHEST,chest,PUSH,WEIGHT_REPS,DUMBBELL
케이블 크로스오버,Cable Crossover,CHEST,chest,PUSH,WEIGHT_REPS,CABLE
덤벨 플라이,Dumbbell Flyes,CHEST,chest,PUSH,WEIGHT_REPS,DUMBBELL
펙덱 플라이,Butterfly,CHEST,chest,PULL,WEIGHT_REPS,MACHINE
친업,Chin-Up,BACK,lats,PULL,BODYWEIGHT_REPS,BODYWEIGHT
랫풀다운: 와이드 그립,Wide-Grip Lat Pulldown,BACK,lats,PULL,WEIGHT_REPS,CABLE
머슬업,Muscle Up,BACK,lats,PULL,BODYWEIGHT_REPS,PULLUP_BAR
중량 풀업,Weighted Pull Ups,BACK,lats,PULL,WEIGHTED_BODYWEIGHT,PULLUP_BAR
바벨 로우,Bent Over Barbell Row,BACK,middle back,PULL,WEIGHT_REPS,BARBELL
시티드 케이블 로우,Seated Cable Rows,BACK,middle back,PULL,WEIGHT_REPS,CABLE
원암 덤벨 로우,One-Arm Dumbbell Row,BACK,middle back,PULL,WEIGHT_REPS,DUMBBELL
티바 로우,Lying T-Bar Row,BACK,middle back,PULL,WEIGHT_REPS,MACHINE
바벨 슈러그,Barbell Shrug,BACK,traps,PULL,WEIGHT_REPS,BARBELL
케이블 슈러그,Cable Shrugs,BACK,traps,PULL,WEIGHT_REPS,CABLE
덤벨 슈러그,Dumbbell Shrug,BACK,traps,PULL,WEIGHT_REPS,DUMBBELL
머신 슈러그,Leverage Shrug,BACK,traps,PULL,WEIGHT_REPS,MACHINE
바벨 데드리프트,Barbell Deadlift,BACK,lower back,PULL,WEIGHT_REPS,BARBELL
백 익스텐션: 맨몸,Hyperextensions With No Hyperextension Bench,BACK,lower back,PULL,BODYWEIGHT_REPS,BODYWEIGHT
루마니안 데드리프트,Romanian Deadlift,LEGS,hamstrings,PULL,WEIGHT_REPS,BARBELL
글루트 킥백,Glute Kickback,LEGS,glutes,PUSH,BODYWEIGHT_REPS,BODYWEIGHT
케이블 데드리프트,Cable Deadlifts,LEGS,quadriceps,PULL,WEIGHT_REPS,CABLE
스티프레그 덤벨 데드리프트,Stiff-Legged Dumbbell Deadlift,LEGS,hamstrings,PULL,WEIGHT_REPS,DUMBBELL
